POP_SIZE,MAX_GEN,CROSSOVER_RATE,BASE_MUT_RATE,STAGNANT_LIMIT,avg_fitness,std_fitness
10,10,0.4,0.5,20,42.276443261067406,0.13895350651260577
10,10,0.4,0.5,30,42.19707479568056,0.07477393917905081
10,10,0.4,0.5,40,42.21539059538522,0.12951226174017105
10,10,0.4,0.5,50,42.18242215591683,0.0752509707425788
10,10,0.6,0.01,5,41.989495732361114,0.00863415078267606
10,10,0.6,0.01,10,42.04043211672961,0.02826481096778914
10,10,0.6,0.01,20,42.123811596861934,0.11869994856985976
10,10,0.6,0.01,30,42.03603474133385,0.005377042189904569
10,10,0.6,0.01,40,42.06890270359369,0.1710358915226582
10,10,0.6,0.01,50,41.988740640317104,0.273623900447022
10,10,0.6,0.05,5,42.074969464316176,0.03113087336703257
10,10,0.6,0.05,10,41.848319509248064,0.1829971148993856
10,10,0.6,0.05,20,42.14093693176549,0.08261176117597299
10,10,0.6,0.05,30,42.14823266313481,0.11224396017482073
10,10,0.6,0.05,40,42.05230271239468,0.1306229678826462
10,10,0.6,0.05,50,42.05776632338344,0.04159721678784646
10,10,0.6,0.1,5,42.17021162278039,0.10685437477930126
10,10,0.6,0.1,10,42.068864197747956,0.014954787835808425
10,10,0.6,0.1,20,42.06642209112067,0.030108312579987886
10,10,0.6,0.1,30,42.14788480833026,0.10407802566804973
10,10,0.6,0.1,40,42.074969464316176,0.03113087336703257
10,10,0.6,0.1,50,42.21479536298467,0.11897814647348155
10,10,0.6,0.15,5,42.172058497007136,0.08285274101585273
10,10,0.6,0.15,10,42.10549579715727,0.05180490469606976
10,10,0.6,0.15,20,42.3069695939085,0.025902452348034878
10,10,0.6,0.15,30,42.26388487312642,0.11869585684231944
10,10,0.6,0.15,40,42.178758995975905,0.1724670268064979
10,10,0.6,0.15,50,42.178758995975905,0.07770735704410464
10,10,0.6,0.2,5,42.19096952911233,0.09614583406219349
10,10,0.6,0.2,10,42.368022259590695,0.037635390724992154
10,10,0.6,0.2,20,42.20318006224878,0.12718898326172565
10,10,0.6,0.2,30,42.26423272793097,0.10609822109932601
10,10,0.6,0.2,40,42.22149586195343,0.09957388435306422
10,10,0.6,0.2,50,42.17265372940768,0.08236454902541884
10,10,0.6,0.25,5,42.117706330293714,0.06743487335214246
10,10,0.6,0.25,10,42.25202219479453,0.1224102140646081
10,10,0.6,0.25,20,42.15741377457659,0.09872229515045661
10,10,0.6,0.25,30,42.19707479568056,0.09339262010110468
10,10,0.6,0.25,40,42.1482326631348,0.031130873367034895
10,10,0.6,0.25,50,42.148232663134806,0.062261746734066536
10,10,0.6,0.3,5,42.19574534782519,0.09470594151855469
10,10,0.6,0.3,10,42.136022129998366,0.048072917031096736
10,10,0.6,0.3,20,42.24912383882097,0.050506840360450035
10,10,0.6,0.3,30,42.190969529112344,0.09497565860945674
10,10,0.6,0.3,40,42.1677695161531,0.1067147505529612
10,10,0.6,0.3,50,42.19208218788426,0.09419874745738867
10,10,0.6,0.35,5,42.24591692822631,0.13065841029190642
10,10,0.6,0.35,10,42.3069695939085,0.07913329904657244
10,10,0.6,0.35,20,42.0810747308844,0.031130873367035825
10,10,0.6,0.35,30,42.22149586195343,0.08634150782678739
10,10,0.6,0.35,40,42.227601128521655,0.13403806510415014
